,Middle Reliever,Setup/Closer Pitcher,Starting Pitcher
G,19.96969696969697,33.696,17.84375
GS,5.492424242424242,2.444,15.6328125
IP,46.865909090909085,44.592,89.8578125
TBF,198.8181818181818,187.6,375.4453125
W,3.037878787878788,2.744,5.5859375
L,2.5757575757575757,2.42,4.4609375
CG,0.022727272727272728,0.012,0.1796875
ShO,0.007575757575757576,0.008,0.1171875
SV,0.8484848484848485,3.452,0.0703125
BS,0.6212121212121212,1.632,0.0390625
HLD,2.6818181818181817,5.728,0.2109375
SD,4.674242424242424,10.272,0.6875
MD,2.462121212121212,4.944,0.2890625
Pulls,16.333333333333332,23.988,17.046875
ERA,4.072056307810605,3.814553389,3.9908120621093746
R,22.553030303030305,20.264,41.6953125
ER,21.045454545454547,18.332,39.15625
H,43.18939393939394,38.608,82.2578125
HR,5.848484848484849,5.12,11.9453125
SO,45.43939393939394,47.232,89.703125
BB,16.734848484848484,16.256,27.3203125
IBB,0.5,0.688,0.1796875
HBP,2.2196969696969697,2.168,3.3828125
WP,1.5606060606060606,1.676,2.6875
BK,0.19696969696969696,0.24,0.3671875
Events,134.42424242424244,121.944,255.0390625
GB,58.265151515151516,52.88,105.90625
LD,26.257575757575758,23.34,50.640625
FB,48.803030303030305,44.344,96.3046875
IFFB,4.871212121212121,4.744,9.515625
BU,0.9924242424242424,1.296,1.9453125
IFH,3.522727272727273,3.436,6.8125
BUH,0.3333333333333333,0.376,0.796875
Balls,280.7348484848485,263.844,513.09375
Strikes,495.6818181818182,475.616,953.734375
Pitches,776.4166666666666,739.46,1466.828125
RS,27.151515151515152,21.536,49.4375
RS_per_9,5.190210110409091,4.282318323404,4.975778595796875
K_pct,0.22995833333333335,0.2489928,0.23029687499999998
BB_pct,0.0895371212121212,0.09140279999999999,0.0762796875
K_minus_BB_pct,0.1404189393939394,0.157588,0.15402265625
K_per_9,8.708534531030304,9.451365645660001,8.619681303203125
BB_per_9,3.4746618485909093,3.5118493849119994,2.893417000046875
K_to_BB,2.9994053030303025,3.1902224,3.4726890624999998
H_per_9,8.137699751151516,7.866813283148,8.134084888546875
HR_per_9,1.1218827502575757,0.99435924798,1.2228970400078123
AVG,0.23244586050757574,0.226343778156,0.233480865765625
WHIP,1.2902624000075757,1.26429585202,1.2252779876171873
BABIP,0.28260746995454544,0.283817078124,0.27701654178124996
LOB_pct,0.7368318181818182,0.7405744,0.748346875
GB_pct,0.4258830883939394,0.43716186074400004,0.421043897578125
LD_pct,0.19639464481060606,0.191321925492,0.189057831484375
FB_pct,0.377722265469697,0.37151621244,0.38989826961718743
IFFB_pct,0.10106300062121211,0.10518714403999999,0.1051980905546875
GB_to_FB,1.280071321522727,1.3669279912480001,1.2131362858828125
HR_to_FB,0.11706812474242424,0.112234301596,0.125272227484375
IFH_pct,0.05267827155303031,0.06865600272,0.066339162375
BUH_pct,0.17801226547727272,0.159066666632,0.2989583332734375
FIP,4.242375108787879,3.9208910387400007,4.2004106485
xFIP,4.3662645895454535,4.140935833428,4.244634739742187
SIERA,4.2408951066212115,3.932052221204,4.209109702875
tERA,4.311998188916666,3.9263467424480005,4.142181912851562
kwERA,4.533749519196969,4.327702201736,4.370475408101563
E_minus_F,-0.17031880097727273,-0.10633764974400002,-0.209598586421875
RAR,5.605693919219696,5.50217453776,14.069176284320312
WAR,0.577028301189394,0.555640819348,1.44521059575
Dollars,4.61622331609091,4.445127616152,11.561683805625002
WPA,0.19819255190909094,0.37534950566400005,0.47492720661718757
RE24,2.336444685484848,3.526146401688,4.906536729578125
REW,0.22887903628787876,0.354195688608,0.49516045426562505
pLI,0.9103605687424242,1.068078780344,0.9001052606796875
inLI,0.8443794721212121,0.9714720038639999,0.862486154453125
gmLI,0.9422560185075757,1.0776303193680001,0.8527120050000001
exLI,1.0579146258636365,1.1945612848959999,1.0089757462578124
WPA_to_LI,0.1782309160151515,0.30961857952399996,0.44645164338281246
Clutch,0.0219990635909091,-0.06592174864400001,0.0654670093515625
OSwing_pct,0.31505151515151514,0.32388919999999993,0.33031640625
ZSwing_pct,0.6866924242424243,0.676734,0.69482421875
Swing_pct,0.4716007575757576,0.4726704,0.48493203125
