Name,Team,PlayerId,classified_role,Classification,G,GS,IP,TBF,W,L,CG,ShO,SV,BS,HLD,SD,MD,Pulls,ERA,R,ER,H,HR,SO,BB,IBB,HBP,WP,BK,Events,GB,LD,FB,IFFB,BU,IFH,BUH,Balls,Strikes,Pitches,RS,RS_per_9,K_pct,BB_pct,K_minus_BB_pct,K_per_9,BB_per_9,K_to_BB,H_per_9,HR_per_9,AVG,WHIP,BABIP,LOB_pct,GB_pct,LD_pct,FB_pct,IFFB_pct,GB_to_FB,HR_to_FB,IFH_pct,BUH_pct,FIP,xFIP,SIERA,tERA,kwERA,E_minus_F,RAR,WAR,Dollars,WPA,RE24,REW,pLI,inLI,gmLI,exLI,WPA_to_LI,Clutch,OSwing_pct,ZSwing_pct,Swing_pct,OContact_pct,ZContact_pct,Contact_pct,Zone_pct,FStrike_pct,SwStr_pct,CStr_pct,CSW_pct,ERA_minus,FIP_minus,xFIP_minus,Pace,RA9_WAR,BIP_Wins,LOB_Wins,FDP_Wins,Pull_pct,Cent_pct,Oppo_pct,Soft_pct,Med_pct,Hard_pct,TTO_pct,FRM,K_pct_plus,BB_pct_plus,K_per_9_plus,BB_per_9_plus,K_to_BB_plus,H_per_9_plus,HR_per_9_plus,AVG_plus,WHIP_plus,BABIP_plus,LOB_pct_plus,GB_pct_plus,LD_pct_plus,FB_pct_plus,HR_to_FB_pct_plus,Pull_pct_plus,Cent_pct_plus,Oppo_pct_plus,Med_pct_plus,Hard_pct_plus,EV,LA,Barrels,Barrel_pct,maxEV,HardHit,HardHit_pct,FA_pct,FAv,wFB,wFB_per_c,FA_pct_sc,vFA_sc,FA_X_sc,FA_Z_sc,wFA_sc,wFA_per_c_sc,OSwing_pct_sc,ZSwing_pct_sc,Swing_pct_sc,OContact_pct_sc,ZContact_pct_sc,Contact_pct_sc,Zone_pct_sc,botERA,botOvr_FA,botStf_FA,botCmd_FA,botOvr,botStf,botCmd,botxRV100,Stf_plus_FA,Loc_plus_FA,Pit_plus_FA,Stuff_plus,Location_plus,Pitching_plus,average_batters_faced_per_appearance_SP,average_innings_pitched_per_appearance_SP,average_batters_faced_per_appearance_RP,average_innings_pitched_per_appearance_RP,z_total_score
Adam Ottavino,NYM,1247,Setup/Closer Pitcher,strong_rp,66,0,61.2,261,1,7,0,0,12,3,12,17,14,30,3.210809156,24,22,46,7,62,29,3,8,5,3,162,90,22,48,3,2,5,1,386,642,1028,17,2.481079802,0.2375,0.1111,0.1264,9.048643984,4.232430251,2.1379,6.713510053,1.021621095,0.205357143,1.216215589,0.251612903,0.806,0.5625,0.1375,0.3,0.0625,1.875,0.145833333,0.055555555,0.5,4.519904095,4.331162679,4.037139088,3.922979351,4.701488498,-1.30909494,-1.011980057,-0.099833101,-0.798664987,-1.084619999,7.025000095,0.704322994,1.406020045,1.22803998,1.362540007,1.447270036,0.446556002,-1.217967478,0.2967,0.5966,0.418,0.6022,0.8907,0.7687,0.4043,0.5862,0.0963,0.2072,0.3035,76.98548268,104.6564153,98.91390451,20.6257,0.974676013,0.563665986,0.510842979,1.074509978,0.4259,0.3395,0.2346,0.1358,0.6049,0.2593,0.3755,0.670000017,106.7036294,128.3887686,105.4151138,126.8383338,83.11003865,77.63975726,83.2467729,82.60279176,91.33902096,84.67823293,112.264985,130.3220599,67.7797355,82.07619726,112.6291348,103.5006611,97.76432181,97.24634229,117.1237444,79.00006871,88.57000122,7.214875031,6,0.037,112.209,66,0.4074,0.4316,92.6471,3.919879913,0.886850659,0.0557,93.14386308,-5.040245725,7.756473474,2.269613653,3.981778339,0.2619,0.5712,0.4189,0.5227,0.8721,0.7646,0.5078,4.581558171,47.76761815,54.46904333,48.79429759,49.34061036,59.30901922,41.29150756,0.167463589,96.77222222,100.1518519,97.20185185,100.0912109,94.76328125,95.71875,0.0,0.0,4.028985507246377,1.1304347826086956,3.647744008416472
Zack Greinke,KCR,1943,Setup/Closer Pitcher,strong_rp,3,0,11.1,50,0,2,0,0,0,0,0,1,2,3,5.558840057,7,7,13,2,9,2,0,1,0,1,38,14,12,12,2,0,2,0,71,121,192,3,2.382360024,0.18,0.04,0.14,7.147080073,1.588240016,4.5,10.32356011,1.588240016,0.276595745,1.323533347,0.305555556,0.6818,0.368421052,0.315789473,0.315789473,0.166666666,1.166666666,0.166666666,0.142857142,0.0,4.755044343,4.21153405,4.064788985,6.523699797,4.538729877,0.803795715,-0.000605981,-6.03e-05,-0.000482694,-0.308860004,-1.728999972,-0.159122005,0.824937999,0.83039999,0.76700002,0.664133012,-0.01394,-0.3604639,0.3211,0.6747,0.474,0.6,0.9107,0.7912,0.4323,0.72,0.099,0.1563,0.2552,124.7769055,111.5858957,98.28805147,20.9085,-0.043914501,-0.031225201,-0.012629,-0.043854199,0.5789,0.2632,0.1579,0.1842,0.5789,0.2368,0.26,-0.089180298,77.60460684,46.89089795,80.34155069,48.54449797,165.5008121,122.6932876,129.7390938,113.8657046,101.9333643,104.1969793,94.74499875,87.99921766,160.078201,82.22335099,133.3728107,141.0907051,76.45049227,64.33051059,111.2793263,72.96744224,88.81499923,15.24579018,2,0.0526,105.812,13,0.3421,0.3802,89.7945,-0.533059001,-0.73021781,0.2708,89.69230769,-1.786128851,8.580692585,0.505052201,0.971254234,0.268,0.6842,0.474,0.5769,0.8769,0.7912,0.4948,4.521347917,44.8674725,33.879075,58.8321075,49.98792391,35.74371219,57.38742448,0.127324115,69.56730769,97.51923077,81.93461538,89.4515625,102.078125,100.1333333,9.172413793103448,6.068965517241379,9.0,3.0,-3.524350095747304
Liam Hendriks,CHW,3548,Setup/Closer Pitcher,strong_rp,5,0,5.0,20,2,0,0,0,1,0,0,4,1,2,5.4,3,3,4,1,3,1,0,0,0,0,16,8,2,6,0,0,0,0,36,51,87,5,9.0,0.15,0.05,0.1,5.4,1.8,3.0,7.2,1.8,0.210526316,1.0,0.2,0.5556,0.5,0.125,0.375,0.0,1.333333333,0.166666666,0.0,0.0,5.255039883,4.639063382,4.424254985,4.708313021,5.018729877,0.144960117,-0.550360024,-0.054837599,-0.438701004,0.294992,-0.411000013,-0.0429607,1.593279958,1.795760036,1.795760036,1.001000047,0.104399003,0.080748622,0.3443,0.7692,0.4713,0.5714,0.85,0.7073,0.2989,0.7,0.1379,0.1149,0.2529,124.9683644,117.6565522,108.2764476,19.1493,-0.039682701,0.113147996,-0.097993501,0.015155,0.4375,0.25,0.3125,0.1875,0.625,0.1875,0.25,0.029999999,64.6705057,58.61362243,60.70232449,55.01693412,110.3338748,85.57044871,147.0372024,86.66701404,77.01609068,68.20165919,77.19962863,119.4275099,63.36428803,97.64022951,133.3728107,106.6196806,72.62796786,127.3208029,120.1310909,57.76589184,88.79562378,11.62199974,1,0.0625,106.786,7,0.4375,0.5862,95.4118,0.492772996,0.966221562,0.5862,95.38627834,-4.379313749,10.98043165,0.492773354,0.966222263,0.3333,0.641,0.4713,0.5,0.84,0.7073,0.4483,4.386182989,63.17014294,59.62364431,60.28763804,51.44113425,57.22111379,54.19552575,0.037213563,126.3784314,93.66666667,101.9372549,115.3022989,98.14367816,103.9655172,0.0,0.0,3.855072463768116,1.1594202898550725,11.371800560784628
Ryan Brasier,- - -,5615,Setup/Closer Pitcher,elite_rp,59,0,59.2,238,3,0,0,0,2,1,10,16,3,44,3.016758169,24,20,42,3,56,19,1,3,3,0,160,70,34,56,8,0,6,0,313,592,905,23,3.469271895,0.2353,0.0798,0.1555,8.446922874,2.865920261,2.9474,6.335192155,0.452513725,0.194444444,1.022345824,0.248407643,0.6689,0.4375,0.2125,0.35,0.142857142,1.25,0.053571428,0.085714285,0.0,3.137721509,4.035839969,3.830996919,3.356955192,4.353183659,-0.12096334,11.22928035,1.12993807,9.039504766,2.306779891,14.25,1.491855949,0.79991484,0.788422641,0.957875064,0.89950895,1.482563011,1.40121883,0.3484,0.7183,0.51,0.6102,0.8657,0.7674,0.4368,0.6471,0.1182,0.1425,0.2608,67.09338816,71.77442973,93.08477988,19.4465,1.254696965,0.635449991,-0.510692999,0.124757022,0.35,0.375,0.275,0.1438,0.5313,0.325,0.3277,-0.009999998,104.3260476,92.88000446,97.29564133,86.69660869,112.5903769,74.42334905,36.93411714,79.26089755,77.8383828,84.22542245,93.07452481,102.3476637,106.4095294,93.69097293,42.37121056,85.14249374,108.3678631,113.0701108,102.5673941,99.6009511,89.45138684,12.81987495,6,0.0375,111.554,68,0.425,0.5144,95.8254,1.80919981,0.389913752,0.3642,95.68636068,-4.634881777,9.575181996,-1.834460434,-0.555897101,0.3249,0.6802,0.5088,0.5563,0.8621,0.7679,0.5177,3.413648379,57.94568637,50.11794356,48.44807275,61.89709957,52.02518241,57.04169754,-0.61114266,110.5250505,101.6017829,100.3413953,106.0765978,105.2829144,106.0667265,0.0,0.0,3.8461538461538463,1.2307692307692308,38.96225252402
Huascar Brazoban,MIA,6107,Setup/Closer Pitcher,strong_rp,50,0,58.2,257,5,2,0,0,0,3,13,14,13,43,4.14204321,28,27,53,5,65,31,2,4,3,0,157,80,29,45,5,3,10,1,376,641,1017,28,4.295452218,0.2529,0.1206,0.1323,9.971585506,4.755679241,2.0968,8.130677412,0.767045039,0.238738739,1.431817406,0.315789474,0.7407,0.519480519,0.188311688,0.292207792,0.111111111,1.777777777,0.111111111,0.125,0.333333333,3.936857695,4.097099902,4.05581482,3.969415465,4.631181239,0.205185515,4.501830101,0.446799994,3.574399948,0.326660007,0.964999974,0.102560997,1.168319941,1.062119961,1.372149944,1.379889965,0.31398499,-0.034386914,0.3631,0.6676,0.4753,0.5905,0.8032,0.7006,0.3686,0.6148,0.1416,0.1554,0.297,94.26910737,91.40105435,93.57406507,18.7711,0.506947994,-0.256992996,0.317140996,0.0601478,0.5414,0.2548,0.2038,0.1911,0.4904,0.3185,0.393,0.280000001,113.6078242,139.3792469,116.1672205,142.5191663,81.51010555,94.02887844,62.50264846,96.03019426,107.5309355,106.2763247,103.1738469,120.355149,92.82702839,79.94434792,85.81267421,131.56135,73.36569853,84.49967127,94.956557,97.04285048,85.35262901,7.946731867,11,0.0701,110.887,44,0.2803,0.3883,96.3104,-0.165521994,-0.042117556,0.1749,96.6197696,-6.467344467,8.291186661,2.426974248,1.371171892,0.3206,0.6587,0.4753,0.5284,0.8,0.7006,0.4575,4.265336873,51.1186667,45.81315466,53.47867801,52.74038818,56.95255303,45.94317935,-0.043350275,100.1045455,105.1386364,103.2676136,90.74090909,101.7086957,98.18537549,0.0,0.0,4.962962962962963,1.4074074074074074,2.130066360534159
Trevor May,OAK,6398,Setup/Closer Pitcher,strong_rp,49,0,46.2,205,4,4,0,0,21,3,1,20,7,14,3.278569195,21,17,35,4,40,29,5,3,2,0,133,40,31,59,13,3,1,1,293,485,778,14,2.699998161,0.1951,0.1415,0.0537,7.714280459,5.592853333,1.3793,6.749995402,0.771428046,0.202312139,1.371427637,0.240310078,0.7492,0.307692307,0.238461538,0.453846153,0.220338983,0.677966101,0.06779661,0.025,0.333333333,4.712181747,5.688205841,5.300246048,4.797818661,5.574827438,-1.433612552,1.276800036,0.128176004,1.025400043,1.99969995,7.315000057,0.753632009,1.613729954,1.569990039,1.708629966,1.784600019,-0.0153542,1.254533002,0.2932,0.6552,0.442,0.6567,0.8373,0.7668,0.4111,0.5756,0.1028,0.1812,0.2841,80.28424075,113.1788532,132.7876324,19.0716,0.535686016,0.594793975,-0.187282994,0.407510012,0.4436,0.3308,0.2256,0.2105,0.4812,0.3083,0.3561,-0.589999974,84.12423496,165.8336627,86.71754734,170.9453574,50.72821825,80.22224102,63.01590098,83.2854976,105.6219953,81.94773003,104.1063396,73.49385207,120.8795646,118.1697134,54.25334681,108.1084623,96.10919036,91.90072959,92.4919075,94.97349614,87.99307392,21.40553824,8,0.0602,114.129,48,0.3609,0.4247,94.7982,-0.99951601,-0.302883639,0.4221,94.74207436,-4.159207228,9.711036496,0.452138733,0.137847175,0.2965,0.5937,0.4414,0.6186,0.8444,0.7668,0.4878,4.58525856,43.07078918,50.19285329,37.4321443,49.3008218,52.90988884,50.44260177,0.169930925,94.3125,91.94756098,92.30457317,94.40579897,97.44561856,98.17551546,0.0,0.0,3.852941176470588,1.0,3.2629759359945663
Craig Kimbrel,PHI,6655,Setup/Closer Pitcher,elite_rp,71,0,69.0,278,8,6,0,0,23,5,7,33,11,26,3.260869565,28,25,44,10,94,28,1,4,4,2,152,51,32,69,8,0,1,0,408,728,1136,20,2.608695652,0.3381,0.1007,0.2374,12.26086957,3.652173913,3.3571,5.739130435,1.304347826,0.178861789,1.043478261,0.23943662,0.7742,0.335526315,0.210526315,0.453947368,0.115942028,0.739130434,0.144927536,0.019607843,0.0,3.80576452,3.575059466,3.075239432,3.841023804,3.369809014,-0.544894955,11.31219959,1.126839995,9.014749527,1.600119948,12.38300037,1.206920028,1.762820005,1.664590001,1.687579989,1.81675005,1.12451005,-0.216805381,0.2972,0.6673,0.4697,0.5337,0.7908,0.704,0.4661,0.6259,0.1373,0.1725,0.3099,74.15595985,84.90103821,81.66438791,21.0,1.507349968,0.631955028,-0.251451999,0.380502999,0.3421,0.2895,0.3684,0.1053,0.5921,0.3026,0.4748,-0.860000014,151.8836649,116.3811855,142.8369779,109.4490934,130.5057404,66.37134529,106.2847545,71.94530891,78.36627288,80.58040584,107.833311,77.73596537,103.7775851,124.1942457,111.929575,83.13211009,83.35694822,152.7387148,114.6391108,92.21624543,90.1210552,18.29730225,15,0.0987,110.242,71,0.4671,0.672,95.8501,9.088740349,1.205403229,0.672,95.82453995,-6.95021215,8.619840667,9.361366674,1.241560567,0.2795,0.627,0.4697,0.4718,0.787,0.7021,0.5472,3.069675827,67.42883375,65.8267784,58.74903117,65.59523457,67.99669351,56.85781518,-0.840458213,124.6830239,102.9431034,114.4058355,125.1951786,101.7508929,114.0858929,0.0,0.0,3.7142857142857135,1.0634920634920637,34.495846029207634
Julio Teheran,MIL,6797,Starting Pitcher,elite_rp,3,0,9.0,34,1,0,0,0,0,0,0,1,0,2,2.0,2,2,8,1,6,2,0,0,0,0,26,9,7,10,1,0,1,0,42,99,141,2,2.0,0.1765,0.0588,0.1176,6.0,2.0,3.0,8.0,1.0,0.25,1.111111111,0.28,0.9302,0.346153846,0.269230769,0.384615384,0.1,0.9,0.1,0.111111111,0.0,4.03281766,4.425432012,4.397637162,5.052732312,4.806965172,-2.03281766,0.415064007,0.041344199,0.330754012,0.187953994,2.693000078,0.270292997,0.507758975,0.583067,0.524999976,0.419400007,0.173442006,0.196721798,0.3067,0.7273,0.5035,0.7391,0.8958,0.8451,0.4681,0.7353,0.078,0.1915,0.2695,45.62102775,91.56729951,101.0645374,19.5755,0.227430999,0.0305425,0.155543998,0.186086997,0.3462,0.5385,0.1154,0.1538,0.4615,0.3846,0.2647,0.126837,79.26844586,67.97052417,69.89894663,59.93640828,116.622151,92.51763283,81.48497844,100.5599204,83.44556834,94.23167459,129.5671567,80.19819067,132.7155659,105.2258937,77.23140687,84.11592205,155.055582,47.83575126,89.35971703,117.1979041,90.08077299,15.00857661,4,0.1538,111.188,13,0.5,0.4539,91.2813,-0.434552014,-0.678987522,0.0142,92.09999847,-4.929055214,6.752299786,-1.369915489,-68.49577446,0.2951,0.6625,0.5035,0.7222,0.8868,0.8451,0.5674,3.675262908,25.04563,62.63696,20.0,59.08439099,44.79979688,64.31803383,-0.436734113,103.9,89.05,92.25,96.89219858,108.7312057,104.4170213,9.0,5.0,0.0,0.0,13.99452142881228
Luis GarcA­a,SDP,6984,Setup/Closer Pitcher,strong_rp,61,0,59.2,267,2,3,0,0,0,3,10,9,10,35,4.072623529,30,27,59,6,53,24,1,6,4,0,184,112,33,37,0,2,5,1,394,616,1010,24,3.620109803,0.1985,0.0899,0.1086,7.994409149,3.620109803,2.2083,8.899436599,0.905027451,0.248945148,1.391060711,0.297752809,0.732,0.615384615,0.181318681,0.203296703,0.0,3.027027027,0.162162162,0.044642857,0.5,4.294145474,4.012146595,3.817866329,4.158661768,4.915359091,-0.221521946,0.89210701,0.088193797,0.705550015,-0.850152016,1.070000052,0.199975997,0.810801983,0.735602975,0.769547999,1.529620051,0.218306005,-1.266838241,0.3086,0.7133,0.4752,0.5902,0.875,0.7662,0.4117,0.5543,0.1109,0.1347,0.2455,98.34313002,99.42415639,91.63596528,20.2952,0.136271,-0.045930602,0.094007798,0.0480772,0.4565,0.3152,0.2283,0.1902,0.5163,0.2935,0.3109,-0.349999994,89.16463119,103.8650708,93.13346306,108.4881896,85.84686117,102.919351,73.74614231,100.1356169,104.4700665,100.206235,101.957778,142.5745612,89.37987083,55.61940099,125.2401191,110.9354914,90.77011553,94.63159496,99.96308921,89.42709624,87.11767848,-1.071104364,9,0.0489,111.034,65,0.3533,0.5724,97.2998,-1.78215003,-0.308864823,0.1356,97.01167598,-5.220138661,7.525766637,0.470176745,0.343194705,0.2871,0.6667,0.4743,0.5374,0.8675,0.7662,0.4931,4.150355743,42.99103397,52.93488022,44.50047684,53.97658022,66.40928476,46.85378004,-0.120004475,90.47720588,101.2257353,95.79632353,110.0103072,97.5210109,101.6103072,0.0,0.0,3.9705882352941178,1.2352941176470589,-4.62587637062359
Ryan Pressly,HOU,7005,Setup/Closer Pitcher,elite_rp,65,0,65.1,268,4,5,0,0,31,6,0,28,10,9,3.581634605,33,26,54,8,74,16,0,1,2,0,177,97,26,54,3,0,8,0,338,687,1025,10,1.377551771,0.2761,0.0597,0.2164,10.19388311,2.204082834,4.625,7.438779564,1.102041417,0.215139442,1.071429155,0.272189349,0.6355,0.548022598,0.146892655,0.305084745,0.055555555,1.796296296,0.148148148,0.082474226,0.0,3.362182798,3.136892739,2.988694747,2.998142045,3.621714952,0.219451807,10.51650047,1.064210057,8.513689995,0.0141658,2.213000059,0.265356004,1.711760044,1.565490007,1.558279991,2.998440027,0.918439984,-0.910164408,0.3727,0.6903,0.5039,0.4554,0.8733,0.6919,0.4131,0.6866,0.1551,0.1629,0.318,84.41184257,79.54059047,73.18113532,20.1936,0.372492999,0.307911009,-0.999629021,-0.691717982,0.4463,0.3729,0.1808,0.1186,0.5537,0.3277,0.3657,-0.720000029,119.0452091,69.98641422,114.5911852,67.36771115,170.0980569,88.40829238,90.02282606,88.56609204,82.51728498,92.81882611,88.30191644,130.8979485,74.46198801,79.43611873,118.5536099,108.7710057,108.3264603,73.65904058,106.4212149,100.9543267,91.25197519,6.696214579,15,0.0847,109.78,77,0.435,0.2471,94.7273,0.890892982,0.352131614,0.2432,94.68072289,-0.522775121,10.32393539,0.431425843,0.173263391,0.3473,0.666,0.5029,0.3956,0.8559,0.6932,0.4883,3.540498576,56.68508281,62.80038273,47.83409711,60.53329948,64.2906,53.6457746,-0.526575932,126.7080321,103.02249,106.7630522,155.6273438,102.0398437,117.0853516,0.0,0.0,3.875,1.078125,28.1685142182585
