Name,Team,PlayerId,classified_role,Classification,G,GS,IP,TBF,W,L,CG,ShO,SV,BS,HLD,SD,MD,Pulls,ERA,R,ER,H,HR,SO,BB,IBB,HBP,WP,BK,Events,GB,LD,FB,IFFB,BU,IFH,BUH,Balls,Strikes,Pitches,RS,RS_per_9,K_pct,BB_pct,K_minus_BB_pct,K_per_9,BB_per_9,K_to_BB,H_per_9,HR_per_9,AVG,WHIP,BABIP,LOB_pct,GB_pct,LD_pct,FB_pct,IFFB_pct,GB_to_FB,HR_to_FB,IFH_pct,BUH_pct,FIP,xFIP,SIERA,tERA,kwERA,E_minus_F,RAR,WAR,Dollars,WPA,RE24,REW,pLI,inLI,gmLI,exLI,WPA_to_LI,Clutch,OSwing_pct,ZSwing_pct,Swing_pct,OContact_pct,ZContact_pct,Contact_pct,Zone_pct,FStrike_pct,SwStr_pct,CStr_pct,CSW_pct,ERA_minus,FIP_minus,xFIP_minus,Pace,RA9_WAR,BIP_Wins,LOB_Wins,FDP_Wins,Pull_pct,Cent_pct,Oppo_pct,Soft_pct,Med_pct,Hard_pct,TTO_pct,FRM,K_pct_plus,BB_pct_plus,K_per_9_plus,BB_per_9_plus,K_to_BB_plus,H_per_9_plus,HR_per_9_plus,AVG_plus,WHIP_plus,BABIP_plus,LOB_pct_plus,GB_pct_plus,LD_pct_plus,FB_pct_plus,HR_to_FB_pct_plus,Pull_pct_plus,Cent_pct_plus,Oppo_pct_plus,Med_pct_plus,Hard_pct_plus,EV,LA,Barrels,Barrel_pct,maxEV,HardHit,HardHit_pct,FA_pct,FAv,wFB,wFB_per_c,FA_pct_sc,vFA_sc,FA_X_sc,FA_Z_sc,wFA_sc,wFA_per_c_sc,OSwing_pct_sc,ZSwing_pct_sc,Swing_pct_sc,OContact_pct_sc,ZContact_pct_sc,Contact_pct_sc,Zone_pct_sc,botERA,botOvr_FA,botStf_FA,botCmd_FA,botOvr,botStf,botCmd,botxRV100,Stf_plus_FA,Loc_plus_FA,Pit_plus_FA,Stuff_plus,Location_plus,Pitching_plus,average_batters_faced_per_appearance_SP,average_innings_pitched_per_appearance_SP,average_batters_faced_per_appearance_RP,average_innings_pitched_per_appearance_RP,z_total_score
Tommy Hunter,NYM,1157,Middle Reliever,average_rp,14,0,23.2,106,0,1,0,0,0,0,1,1,4,8,6.845060677,20,18,28,6,20,5,0,2,0,0,79,37,10,32,1,0,3,0,117,251,368,16,6.084498379,0.1887,0.0472,0.1415,7.605622974,1.901405743,4.0,10.64787216,2.281686892,0.282828283,1.394364212,0.301369863,0.5639,0.46835443,0.126582278,0.405063291,0.03125,1.15625,0.1875,0.081081081,0.0,5.74799408,4.687740377,4.022361945,4.64295298,4.52061667,1.097066597,-3.003590107,-0.290333986,-2.322669983,-0.430857986,-9.095999718,-0.91446197,0.435750991,0.354822993,0.611500025,0.710049987,-0.350131989,-0.63863911,0.3302,0.7613,0.5123,0.8143,0.8475,0.8351,0.4223,0.6887,0.0842,0.1685,0.2527,164.1238313,133.0636458,107.0487634,18.387,-0.630813003,-0.039542802,-0.300936013,-0.340478987,0.5063,0.2785,0.2152,0.1519,0.4937,0.3544,0.2925,0.349999994,84.75242638,54.50466562,88.60417239,56.98171547,155.4962014,123.1394909,185.9232072,113.7647584,104.7181627,101.4235245,78.544,108.5100695,62.39791507,110.8201819,144.8088879,123.0387606,80.19149436,89.21266703,95.58096325,108.0000938,88.59708762,6.432797589,10,0.1266,110.654,34,0.4304,0.4687,92.1279,3.456690073,2.009703531,0.079,92.38620521,-4.106448206,9.664759143,0.129709527,0.447274231,0.2982,0.7041,0.515,0.7647,0.8551,0.8307,0.5341,4.325809946,40.01294481,34.09598074,37.34866926,52.09020364,39.1136819,59.9467472,-0.003034674,78.34814815,112.9259259,109.1925926,82.80435967,105.3395095,100.5277929,7.0,2.0,8.0,2.0,-11.123834524660278
Matt Bush,MIL,1246,Setup/Closer Pitcher,suboptimal_rp,12,0,10.1,48,0,2,0,0,1,3,1,4,3,8,9.580676403,11,11,11,5,10,6,0,0,0,0,32,9,11,12,1,0,1,0,72,122,194,1,0.870970582,0.2083,0.125,0.0833,8.709705821,5.225823493,1.6667,9.580676403,4.354852911,0.261904762,1.645166655,0.222222222,0.6,0.28125,0.34375,0.375,0.083333333,0.75,0.416666666,0.111111111,0.0,9.351833958,4.981519867,4.85482669,11.94087575,5.218729877,0.228842446,-7.399680138,-0.706893027,-5.655149937,-1.210919976,-4.032000065,-0.395128012,1.537240028,1.398569942,1.705199957,1.535599947,-0.721415997,-0.066307426,0.296,0.6957,0.4381,0.5946,0.7917,0.7059,0.3557,0.5208,0.1289,0.1856,0.3144,218.540152,212.2020269,113.7509624,19.5137,-0.699669003,0.151387006,-0.144161999,0.0072245,0.5,0.3125,0.1875,0.2188,0.4063,0.375,0.4375,0.159999996,93.58080412,144.4373649,101.4665437,156.6085452,64.79008389,110.7976877,354.8550955,105.348488,123.5536799,74.78704333,83.57081606,65.16102995,169.4493387,102.5952466,321.7975281,121.5007763,89.98761462,77.73309605,78.65516769,114.2679566,89.47343445,15.88728142,6,0.1875,112.223,13,0.4063,0.5876,94.4211,-3.01515007,-2.644868483,0.5206,94.44356242,-3.379217771,11.05910862,-3.491160646,-3.456594699,0.2871,0.6022,0.4381,0.5517,0.7857,0.7059,0.4794,4.784876701,48.75272119,55.70041574,42.69414386,47.15469108,47.04432041,47.3459516,0.303008763,107.0138614,91.50594059,97.0,115.0083333,95.15260417,98.63489583,0.0,0.0,4.25,1.0,-36.16652822740023
Corey Kluber,BOS,2429,Starting Pitcher,average_rp,6,0,13.1,65,1,0,0,0,1,0,0,1,2,5,9.450023882,14,14,23,6,8,3,0,1,0,0,53,15,11,27,3,0,2,0,61,159,220,10,6.750017059,0.1231,0.0462,0.0769,5.400013647,2.025005118,2.6667,15.52503924,4.050010235,0.37704918,1.950004928,0.361702128,0.6989,0.283018867,0.207547169,0.509433962,0.111111111,0.555555555,0.222222222,0.133333333,0.0,8.805053909,6.303087241,5.354553385,8.915024581,5.295652954,0.644969974,-4.57848978,-0.426461995,-3.411689997,-0.071525998,-6.883999825,-0.721068978,0.482145011,0.463456988,0.574999988,0.716639996,-1.007990003,0.859640447,0.3772,0.7925,0.5773,0.6977,0.881,0.8189,0.4818,0.6923,0.1045,0.1455,0.25,208.1842943,204.2606806,147.1531473,20.1948,-0.438713014,-0.225202993,0.212952003,-0.0122513,0.4906,0.3208,0.1887,0.1887,0.5472,0.2642,0.2615,0.00484848,53.062979,54.10488207,60.7024779,61.89420731,98.07455532,184.5117463,330.8345416,155.2192014,150.1817564,123.3434262,97.1221135,67.60047707,105.2086288,132.6433306,177.8304148,119.5519867,93.18305282,76.87293748,105.1713701,81.38087894,85.05188679,18.75424482,9,0.1698,109.85,15,0.283,0.2091,88.5217,-2.629559994,-5.716434769,0.0136,87.5,-4.989833196,6.280466715,0.069416869,2.313895648,0.3371,0.7405,0.5773,0.6,0.8866,0.8189,0.5955,3.492843955,29.76326333,47.67661,29.04416333,61.04567773,51.37713668,61.91262055,-0.558345273,87.83333333,86.46666667,87.7,97.45,108.7022727,106.5259091,9.0625,5.25,0.0,0.0,-11.84808444777553
Jeurys Familia,OAK,5114,Setup/Closer Pitcher,average_rp,14,0,12.2,64,0,1,0,0,2,2,1,3,4,11,6.394719831,12,9,13,2,9,13,0,1,0,0,41,21,6,13,2,1,1,0,116,140,256,3,2.131573277,0.1406,0.2031,-0.0625,6.394719831,9.236817533,0.6923,9.236817533,1.421048851,0.26,2.052626118,0.282051282,0.6198,0.525,0.15,0.325,0.153846153,1.615384615,0.153846153,0.047619047,0.0,7.202397803,6.846629374,6.784423637,6.348926021,6.968729877,-0.807677972,-4.219979763,-0.414893001,-3.319149971,-0.867947996,-3.980999947,-0.413172007,1.795410037,0.976491988,1.303429961,0.702235997,-0.497902989,0.014476932,0.1899,0.7347,0.3984,0.5333,0.8333,0.7451,0.3828,0.5156,0.1016,0.1445,0.2461,156.5912433,173.0475517,159.8519581,20.7487,-0.617964983,0.0396621,-0.242734,-0.203071997,0.4878,0.2683,0.2439,0.0976,0.6341,0.2683,0.375,-0.189999998,60.62859909,238.1178411,71.8841404,282.3229898,25.4616634,109.7775862,116.0816931,107.0337623,158.0852393,96.18182706,86.13181704,125.3988854,76.03714564,84.62153225,123.1133635,118.8790864,77.94220914,99.37233395,121.8891068,82.6568856,90.84849854,8.518499756,2,0.0488,107.328,16,0.3902,0.5742,94.1769,-4.32806015,-2.944258606,0.2422,94.43871283,-6.815242152,7.291886853,-1.730379902,-2.790935326,0.1957,0.6356,0.3984,0.5185,0.8267,0.7451,0.4609,6.38582668,33.53895,32.26586903,45.27090742,29.9424857,42.28123828,34.37611844,1.370309219,71.17419355,96.75967742,82.67419355,86.25039062,89.36132813,88.10976563,0.0,0.0,4.015384615384615,1.0923076923076922,-32.388506934698555
JosA© Cisnero,DET,6399,Setup/Closer Pitcher,average_rp,63,0,59.1,267,3,4,0,0,2,2,14,11,12,45,5.308991608,39,35,63,10,70,25,2,5,9,0,167,72,28,64,9,2,5,0,348,640,988,36,5.460677083,0.2622,0.0936,0.1685,10.61798322,3.792136863,2.8,9.556184895,1.516854745,0.265822785,1.483146862,0.337579618,0.6835,0.43902439,0.170731707,0.390243902,0.140625,1.125,0.15625,0.069444444,0.0,4.603355212,4.195735667,3.732261771,4.26998956,4.196257967,0.705636397,-0.134982005,-0.0135295,-0.108236,-1.249989986,-10.69999981,-1.112149954,1.090000033,0.960896015,1.146669984,0.907590985,-0.866720021,-0.280059748,0.3039,0.6953,0.4797,0.6545,0.8377,0.7738,0.4493,0.588,0.1083,0.164,0.2723,123.7176032,108.3782595,97.91895281,19.9149,-0.743589997,-0.547963023,-0.182098001,-0.730060995,0.4036,0.3614,0.2349,0.1747,0.488,0.3373,0.3933,0.230000004,113.0320946,109.763337,119.3585672,115.9065244,102.9782831,113.5731985,123.9078212,109.4308184,114.2261732,115.1174502,94.98485951,104.8631794,86.54634447,101.6093444,125.0370105,98.36170171,105.0042908,95.72069999,93.78909263,103.9322068,90.07072933,14.3214022,16,0.0958,116.847,74,0.4431,0.5811,95.7784,-4.129429817,-0.72066838,0.3671,95.81629834,-6.326049805,9.063591214,0.06588871,0.018201301,0.2511,0.6885,0.4817,0.5299,0.852,0.7726,0.5274,4.785754423,51.50809809,54.37575174,51.70133785,47.14523913,52.73519216,46.3795467,0.303594545,106.3724234,98.05877437,100.4649025,105.6139896,96.46103627,97.4146114,0.0,0.0,3.9402985074626864,1.1343283582089552,-16.31766154501743
Alex ColomA©,CHW,6661,Setup/Closer Pitcher,suboptimal_rp,4,0,3.0,15,0,1,0,0,0,1,0,0,2,2,6.0,4,2,2,1,2,3,0,0,0,1,10,7,1,1,0,1,2,0,25,38,63,0,0.0,0.1333,0.2,-0.0667,6.0,9.0,0.6667,6.0,3.0,0.166666667,1.666666667,0.111111111,0.2778,0.777777777,0.111111111,0.111111111,0.0,7.0,1.0,0.285714285,0.0,9.255039883,5.472824188,5.918400544,9.21262129,7.018729877,-3.255039883,-1.727090001,-0.168375999,-1.347000003,-0.359223992,-0.435000002,-0.050962199,0.853399992,1.264050007,1.264050007,2.055399895,-0.169859007,-0.251073727,0.3333,0.8696,0.5323,0.4615,0.95,0.7576,0.371,0.6,0.127,0.0794,0.2063,138.8537382,207.2912726,127.7556565,19.6957,-0.256848991,0.127954006,-0.216426998,-0.088473797,0.7,0.2,0.1,0.1,0.6,0.3,0.4,0.029999999,57.48489381,234.4544897,67.44702721,275.0846706,24.51863881,71.30870726,245.0620041,68.61138612,128.3601511,37.88981066,38.59981424,185.7761263,56.32381153,28.93043835,800.2368674,170.591489,58.10237429,40.74265692,115.3258473,92.42542694,85.62922499,-12.3139996,1,0.1,105.034,4,0.4,0.4839,93.3333,-0.41506201,-1.383540034,0.4839,93.27333171,-2.239603424,10.84839986,-0.415062405,-1.383541351,0.3125,0.7667,0.5323,0.4,0.913,0.7576,0.4839,6.769795873,33.682626,42.06413767,42.05665033,25.81430079,33.62681333,31.46149444,1.62629,85.53,88.67666667,86.30666667,94.24354839,95.30322581,89.22096774,0.0,0.0,4.298507462686567,1.1044776119402986,-35.19524459087484
Johnny Cueto,MIA,6893,Starting Pitcher,average_rp,3,0,6.0,23,0,0,0,0,0,0,0,0,0,2,3.0,2,2,4,2,1,1,0,0,0,0,21,7,2,12,1,0,0,0,29,52,81,1,1.5,0.0435,0.0435,0.0,1.5,1.5,1.0,6.0,3.0,0.181818182,0.833333333,0.105263158,1.0,0.333333333,0.095238095,0.571428571,0.083333333,0.583333333,0.166666666,0.0,0.0,7.755039883,6.728412382,6.658929752,6.694881509,6.218729877,-4.755039883,-1.120100021,-0.105020002,-0.840164006,-0.0065999,1.059999943,0.112230003,0.060017399,0.080200002,0.093599997,0.01,-0.099918999,-0.010047443,0.3529,0.8,0.5185,0.9444,0.9583,0.9524,0.3704,0.6522,0.0247,0.1235,0.1481,68.27725057,179.9442896,153.604055,17.8103,0.072234601,0.283937991,-0.106683001,0.177255005,0.381,0.2857,0.3333,0.0952,0.4762,0.4286,0.1739,-0.00917197,19.52990659,50.23908243,17.47473666,44.95230621,38.87405035,69.38822462,244.4549353,73.13448756,62.58417626,35.42544158,139.2846934,77.22788727,46.94700283,156.3356137,128.7190109,92.57201984,82.2743903,138.1921706,92.19653351,130.5919503,92.57475935,23.65776135,3,0.1429,113.135,8,0.381,0.4691,92.5526,2.141350031,5.63513166,0.3951,92.59687805,-7.089187622,8.552343369,0.920384616,2.876201924,0.3571,0.6923,0.5185,0.8667,1.0,0.9524,0.4815,4.33142037,75.76756969,40.52032344,80.0,52.02990099,35.8897116,62.5487784,0.000706914,84.10625,121.0375,113.615625,85.79753086,102.337037,100.5259259,9.38095238095238,5.571428571428571,9.0,3.0,-11.5155547366964
Ian Kennedy,TEX,6986,Setup/Closer Pitcher,average_rp,16,0,16.1,75,0,1,0,0,0,1,0,0,2,9,7.163280084,15,13,16,4,21,7,0,2,1,0,45,15,7,23,1,0,1,0,120,194,314,3,1.653064635,0.28,0.0933,0.1867,11.57145244,3.857150815,3.0,8.816344719,2.20408618,0.242424242,1.40816617,0.292682927,0.5155,0.333333333,0.155555555,0.511111111,0.04347826,0.652173913,0.173913043,0.066666666,0.0,5.520350679,4.664866286,3.655509157,5.036585602,3.978729877,1.642929406,-1.309430003,-0.130156994,-1.041260004,-0.870956004,-7.627999783,-0.762389004,0.343849003,0.264595985,0.472613007,0.149644002,-0.225839004,-2.307121671,0.3037,0.748,0.4777,0.431,0.8261,0.6733,0.3917,0.5333,0.1561,0.1401,0.2962,163.5184031,125.3658068,108.8792825,19.2447,-0.432384014,0.00515383,-0.307381004,-0.30222699,0.4667,0.2222,0.3111,0.0889,0.5333,0.3778,0.4267,0.180000007,120.7182773,109.4120948,130.076678,117.8936735,110.3338748,104.7803574,180.0459254,99.79837981,108.4514535,99.80730612,71.6285214,79.61833985,78.85333594,133.0800165,139.1716287,113.7276592,64.55819359,126.7549326,102.5118642,116.3875744,90.93621962,18.88435601,4,0.0889,109.499,23,0.5111,0.6083,92.4346,-2.907550097,-1.522277537,0.6083,92.37015298,-5.669999847,10.11832448,-1.794631459,-0.939597622,0.2914,0.7122,0.4777,0.4314,0.798,0.6733,0.4427,5.752893057,47.11031634,44.08364361,48.11075105,36.74730312,40.63169863,39.64279624,0.948354013,91.5539267,101.7827225,94.2026178,83.11661342,98.26932907,92.28338658,0.0,0.0,4.090909090909091,1.0909090909090908,-25.545279672779376
Daniel Bard,COL,7115,Setup/Closer Pitcher,average_rp,50,0,49.1,232,4,2,0,0,1,2,6,12,8,39,4.56081375,30,25,35,5,47,49,3,8,2,1,128,47,23,58,7,0,2,0,386,550,936,19,3.46621845,0.2026,0.2112,-0.0086,8.574329849,8.939194949,0.9592,6.38513925,0.91216275,0.2,1.7027038,0.243902439,0.7294,0.3671875,0.1796875,0.453125,0.120689655,0.810344827,0.086206896,0.042553191,0.0,6.133420116,6.759659759,6.297581015,6.923035554,6.322178153,-1.572606366,-5.161690235,-0.50563103,-4.045040131,0.285798013,-4.076000214,-0.377555996,1.08810997,0.824561,0.930819988,1.327069998,0.036114302,0.226541148,0.2142,0.6456,0.397,0.6957,0.8588,0.8081,0.4238,0.5388,0.0759,0.188,0.2639,90.49082613,132.756353,154.3169235,20.2865,0.154067993,0.433315009,0.226383999,0.659698009,0.3672,0.4063,0.2266,0.1953,0.4922,0.3125,0.4353,-0.419999987,90.99926444,244.04934,99.88943742,267.8916191,37.2873544,73.84224608,74.32756201,80.44793632,127.8747777,82.08334024,101.5958939,85.07134465,88.57579071,123.9692563,66.5787986,89.22713263,116.983899,93.92749106,95.29376085,95.2232972,87.1101532,16.86843681,13,0.1016,109.937,40,0.3125,0.5134,94.8267,0.620638013,0.129569523,0.1372,94.3898468,-3.491820335,4.888101578,-4.070418082,-3.180014127,0.1667,0.6128,0.3976,0.5867,0.8615,0.8059,0.5177,6.142559275,20.0,48.01974369,20.0,32.55790318,47.2619464,30.32403314,1.208130952,62.78770492,68.76229508,58.35163934,92.47470141,87.77513572,87.41509229,0.0,0.0,4.552238805970149,1.0895522388059702,-24.520378934782304
Anthony Bass,TOR,7982,Setup/Closer Pitcher,average_rp,22,0,20.0,88,0,0,0,0,0,0,1,1,4,15,4.95,12,11,19,3,19,9,2,0,1,0,60,23,14,23,3,0,0,0,114,212,326,5,2.25,0.2159,0.1023,0.1136,8.55,4.05,2.1111,8.55,1.35,0.240506329,1.4,0.280701754,0.6723,0.383333333,0.233333333,0.383333333,0.130434782,1.0,0.130434782,0.0,0.0,4.655039883,4.606395736,4.395355354,4.946364973,4.855093514,0.294960117,-0.0092645,-0.000928814,-0.00743051,-0.196163997,-0.460000008,-0.043028802,0.433248013,0.368656009,0.406008989,0.460839987,-0.063446902,-0.389328393,0.3085,0.625,0.4414,0.5172,0.8706,0.7273,0.4198,0.7614,0.1196,0.2086,0.3282,117.292914,106.7254428,107.5132312,17.9414,-0.111948997,0.063645601,-0.174666002,-0.111020997,0.5167,0.25,0.2333,0.0833,0.5333,0.3833,0.3523,0.200000003,93.08633356,119.8915001,96.11201377,123.7881018,77.64235631,101.6149078,110.2779018,99.00883566,107.822527,95.72162693,93.41803802,91.56109083,118.2800042,99.81001231,104.3787214,125.9127655,72.62796786,95.06619935,102.5118642,118.0991565,90.75349935,15.77398376,5,0.0833,109.596,26,0.4333,0.3735,94.5289,-4.819240093,-3.982843052,0.0802,94.36923453,-3.601880881,10.1466534,-2.225135189,-8.558212264,0.2883,0.5963,0.4414,0.4255,0.875,0.7273,0.4969,4.466087607,26.17388615,54.34343769,25.08001731,50.58206347,48.34886509,57.22682383,0.090483681,81.57692308,86.07692308,84.22692308,105.3182099,99.55925926,101.104321,4.0,1.0,3.681159420289855,1.0579710144927537,-7.1537702361545445
